molecule_chembl_id,canonical_smiles,pIC50,bioactivity,Number of H donors,Number of H Acceptors,LogP,molecular mass,Ro5violations,Ro5Rule,PSA,numrotbonds,Verber Rule P or F,QED
CHEMBL1288468,Cc1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,5.0,inactive,1,2,2.78632,258.195,0,Pass,46.53,1,pass,0.8420519635898
CHEMBL1288566,Cc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,7.107905397309519,active,1,2,3.439720000000002,292.64,0,Pass,46.53,1,pass,0.8622648473523112
CHEMBL1288600,Cc1cc(C)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,7.0,active,1,2,3.0947400000000007,272.222,0,Pass,46.53,1,pass,0.8540957844918313
CHEMBL1288565,Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,7.292429823902063,active,1,2,3.439720000000001,292.64,0,Pass,46.53,1,pass,0.8622648473523112
CHEMBL1290565,CCc1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,7.309803919971486,active,1,3,3.938900000000001,356.218,0,Pass,55.760000000000005,3,pass,0.8339266070217065
CHEMBL3355611,[2H]C([2H])([2H])c1cc2c(c(C([2H])([2H])[2H])c1Cl)C=C(C(=O)O)[C@@H](C(F)(F)F)O2,7.795880017344075,active,1,2,3.748140000000001,312.70361066799995,0,Pass,46.53,3,pass,0.9243554516132926
CHEMBL3355612,[2H]C([2H])([2H])c1cc2c(c(C([2H])([2H])[2H])c1Br)C=C(C(=O)O)[C@@H](C(F)(F)F)O2,8.045757490560675,active,1,2,3.857240000000001,357.154610668,0,Pass,46.53,3,pass,0.893855505251861
CHEMBL3355613,[2H]C([2H])([2H])c1cc(Cl)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,7.698970004336019,active,1,2,3.4397200000000003,295.658305334,0,Pass,46.53,2,pass,0.9089067918702157
CHEMBL3342574,[3H]C([3H])([3H])c1cc(Br)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,7.853871964321762,active,1,2,3.54882,343.115147834,0,Pass,46.53,2,pass,0.8934588278762832
CHEMBL3357095,O=C1OCC(c2ccccc2)=C1c1ccc(F)cc1,5.301029995663981,intermediate,0,2,3.293300000000002,254.26,0,Pass,26.3,2,pass,0.7685631905958725
CHEMBL3357099,Cc1ccc(C2=C(c3ccc(F)cc3)C(=O)OC2)cc1,5.301029995663981,intermediate,0,2,3.601720000000002,268.287,0,Pass,26.3,2,pass,0.7777894361411626
CHEMBL3357103,COc1ccc(C2=C(c3cccc(F)c3)C(=O)OC2)cc1,5.301029995663981,intermediate,0,3,3.3019000000000016,284.286,0,Pass,35.53,3,pass,0.8112117136811848
CHEMBL3357104,COc1ccc(C2=C(c3ccc(F)cc3)C(=O)OC2)cc1,5.301029995663981,intermediate,0,3,3.3019000000000016,284.286,0,Pass,35.53,3,pass,0.8112117136811848
CHEMBL3357106,COc1ccc(C2=C(c3ccc(I)cc3)C(=O)OC2)cc1,5.301029995663981,intermediate,0,3,3.767400000000003,392.1920000000001,0,Pass,35.53,3,pass,0.5895974676368044
